elapsed_sec	epoch	label	pid	rss_kb	pcpu	pmem	fds
822	1784113020	map_products	667573	370680	42.4	0.5	19
822	1784113020	mapping_manager	667575	65736	28.7	0.1	19
822	1784113020	safety	667592	23844	1.5	0.0	19
853	1784113051	workbench	667581	136516	43.3	0.2	19
853	1784113051	rviz	667863	210872	47.2	0.3	50
853	1784113051	sim	667881	68568	42.8	0.1	19
853	1784113051	rtabmap	667579	416920	31.2	0.6	20
853	1784113051	map_products	667573	371208	42.5	0.5	19
853	1784113051	mapping_manager	667575	65736	28.6	0.1	19
853	1784113051	safety	667592	23844	1.5	0.0	19
883	1784113081	workbench	667581	136516	43.7	0.2	19
883	1784113081	rviz	667863	210872	46.9	0.3	50
883	1784113081	sim	667881	68552	42.7	0.1	19
883	1784113081	rtabmap	667579	418372	31.1	0.6	20
883	1784113081	map_products	667573	371736	42.7	0.5	19
883	1784113081	mapping_manager	667575	65736	28.6	0.1	19
883	1784113081	safety	667592	23844	1.5	0.0	19
914	1784113112	workbench	667581	136780	44.1	0.2	19
914	1784113112	rviz	667863	211136	46.7	0.3	50
914	1784113112	sim	667881	68604	42.7	0.1	19
914	1784113112	rtabmap	667579	417112	31.3	0.6	20
914	1784113112	map_products	667573	372264	42.9	0.5	19
914	1784113112	mapping_manager	667575	65736	28.5	0.1	19
914	1784113112	safety	667592	23844	1.5	0.0	19
944	1784113142	workbench	667581	138892	44.4	0.2	19
944	1784113142	rviz	667863	213248	46.5	0.3	50
944	1784113142	sim	667881	68604	42.6	0.1	19
944	1784113142	rtabmap	667579	419324	31.6	0.6	20
944	1784113142	map_products	667573	373320	43.1	0.5	19
944	1784113142	mapping_manager	667575	65736	28.5	0.1	19
944	1784113142	safety	667592	23844	1.5	0.0	19
975	1784113173	workbench	667581	140212	44.8	0.2	19
975	1784113173	rviz	667863	213248	46.4	0.3	50
975	1784113173	sim	667881	68664	42.6	0.1	19
975	1784113173	rtabmap	667579	427772	31.9	0.6	20
975	1784113173	map_products	667573	375168	43.2	0.5	19
975	1784113173	mapping_manager	667575	65736	28.4	0.1	19
975	1784113173	safety	667592	23844	1.5	0.0	19
1005	1784113203	workbench	667581	143908	45.1	0.2	19
1005	1784113203	rviz	667863	215888	46.2	0.3	50
1005	1784113203	sim	667881	68452	42.5	0.1	19
1005	1784113203	rtabmap	667579	429412	32.3	0.6	20
1005	1784113203	map_products	667573	377068	43.4	0.5	19
1005	1784113203	mapping_manager	667575	65788	28.3	0.1	19
1005	1784113203	safety	667592	23844	1.5	0.0	19
1035	1784113233	workbench	667581	146748	45.6	0.2	19
1035	1784113233	rviz	667863	215888	46.1	0.3	50
1035	1784113233	sim	667881	68336	42.5	0.1	19
1035	1784113233	rtabmap	667579	450332	32.7	0.6	20
1035	1784113233	map_products	667573	378272	43.5	0.5	19
1035	1784113233	mapping_manager	667575	65936	28.3	0.1	19
1035	1784113233	safety	667592	23780	1.5	0.0	19
1066	1784113264	workbench	667581	149388	46.1	0.2	19
1066	1784113264	rviz	667863	220344	46.0	0.3	50
1066	1784113264	sim	667881	68336	42.4	0.1	19
1066	1784113264	rtabmap	667579	473572	33.2	0.7	20
1066	1784113264	map_products	667573	379856	43.7	0.5	19
1066	1784113264	mapping_manager	667575	65936	28.2	0.1	19
1066	1784113264	safety	667592	23780	1.5	0.0	19
1096	1784113294	workbench	667581	150972	46.5	0.2	19
1096	1784113294	rviz	667863	219952	45.8	0.3	50
1096	1784113294	sim	667881	68500	42.3	0.1	19
1096	1784113294	rtabmap	667579	480140	33.5	0.7	20
1096	1784113294	map_products	667573	380912	43.9	0.5	19
1096	1784113294	mapping_manager	667575	65936	28.2	0.1	19
1096	1784113294	safety	667592	23780	1.5	0.0	19
1127	1784113325	workbench	667581	152556	47.0	0.2	19
1127	1784113325	rviz	667863	221536	45.6	0.3	50
1127	1784113325	sim	667881	68336	42.2	0.1	19
1127	1784113325	rtabmap	667579	483744	33.8	0.7	20
1127	1784113325	map_products	667573	383024	44.1	0.5	19
1127	1784113325	mapping_manager	667575	65936	28.1	0.1	19
1127	1784113325	safety	667592	23780	1.5	0.0	19
1157	1784113355	workbench	667581	154404	47.4	0.2	19
1157	1784113355	rviz	667863	223120	45.4	0.3	50
1157	1784113355	sim	667881	68716	42.1	0.1	19
1157	1784113355	rtabmap	667579	493052	34.1	0.7	20
1157	1784113355	map_products	667573	387248	44.3	0.6	19
1157	1784113355	mapping_manager	667575	65936	28.0	0.1	19
1157	1784113355	safety	667592	23780	1.5	0.0	19
1188	1784113386	workbench	667581	156780	47.8	0.2	19
1188	1784113386	rviz	667863	223120	45.3	0.3	50
1188	1784113386	sim	667881	68708	42.0	0.1	19
1188	1784113386	rtabmap	667579	506096	34.9	0.7	20
1188	1784113386	map_products	667573	389096	44.4	0.6	19
1188	1784113386	mapping_manager	667575	65936	27.9	0.1	19
1188	1784113386	safety	667592	23780	1.5	0.0	19
1218	1784113416	workbench	667581	159684	48.3	0.2	19
1218	1784113416	rviz	667863	221352	45.1	0.3	50
1218	1784113416	sim	667881	68544	42.0	0.1	19
1218	1784113416	rtabmap	667579	517760	35.4	0.8	20
1218	1784113416	map_products	667573	390152	44.6	0.6	19
1218	1784113416	mapping_manager	667575	65936	27.9	0.1	19
1218	1784113416	safety	667592	23780	1.5	0.0	19
1249	1784113447	workbench	667581	161532	48.8	0.2	19
1249	1784113447	rviz	667863	227248	45.0	0.3	50
1249	1784113447	sim	667881	68544	41.9	0.1	19
1249	1784113447	rtabmap	667579	517924	35.9	0.8	20
1249	1784113447	map_products	667573	392264	44.8	0.6	19
1249	1784113447	mapping_manager	667575	65936	27.8	0.1	19
1249	1784113447	safety	667592	23780	1.5	0.0	19
1279	1784113477	workbench	667581	165492	49.2	0.2	19
1279	1784113477	rviz	667863	229888	44.8	0.3	50
1279	1784113477	sim	667881	68336	41.8	0.1	19
1279	1784113477	rtabmap	667579	526416	36.3	0.8	20
1279	1784113477	map_products	667573	393584	45.0	0.6	19
1279	1784113477	mapping_manager	667575	65936	27.7	0.1	19
1279	1784113477	safety	667592	23780	1.5	0.0	19
1309	1784113507	workbench	667581	172868	49.6	0.2	19
1309	1784113507	rviz	667863	227684	44.8	0.3	50
1309	1784113507	sim	667881	68336	41.7	0.1	19
1309	1784113507	rtabmap	667579	529532	36.7	0.8	20
1309	1784113507	map_products	667573	397016	45.3	0.6	19
1309	1784113507	mapping_manager	667575	65936	27.7	0.1	19
1309	1784113507	safety	667592	23780	1.5	0.0	19
1340	1784113538	workbench	667581	174452	50.0	0.2	19
1340	1784113538	rviz	667863	220268	44.8	0.3	50
1340	1784113538	sim	667881	68336	41.6	0.1	19
1340	1784113538	rtabmap	667579	509356	36.9	0.7	20
1340	1784113538	map_products	667573	397544	45.4	0.6	19
1340	1784113538	mapping_manager	667575	66008	27.6	0.1	19
1340	1784113538	safety	667592	23780	1.5	0.0	19
1370	1784113568	workbench	667581	177292	50.5	0.2	19
1370	1784113568	rviz	667863	230756	44.8	0.3	50
1370	1784113568	sim	667881	68336	41.5	0.1	19
1370	1784113568	rtabmap	667579	512484	36.9	0.7	20
1370	1784113568	map_products	667573	399856	45.7	0.6	19
